id_hospital,nombre,estado,ciudad,lat,lon,prioridad,pacientes_2025,dificultad_zona,id_educador
75,Hospital_75,Morelos,Monterrey,25.643940973418943,-100.36180222001853,PROTECT,9,Media,7
52,Hospital_52,Sonora,Hospital_52,27.688730758528763,-103.90690510840207,SELECT,16,Alta,7
74,Hospital_74,Chiapas,Juárez,31.708360648824247,-106.40862215896426,PROTECT,21,Baja,8
8,Hospital_8,Quintana Roo,Hospital_8,31.30009814719427,-108.50183942118336,SELECT,14,Baja,8
65,Hospital_65,Campeche,Hospital_65,31.473922550894226,-114.56619268176604,GROW,17,Alta,8
35,Hospital_35,Veracruz,Hospital_35,22.762399918106087,-111.5464658775091,GROW,13,Baja,8
78,Hospital_78,Aguascalientes,Monterrey,25.680121077603623,-100.34314533005765,PROTECT,16,Media,8
12,Hospital_12,Colima,Juárez,31.711528850751428,-106.41699622904727,PROTECT,16,Baja,9
55,Hospital_55,Chiapas,Hospital_55,31.35035918286831,-98.25843467715914,GROW,13,Alta,9
80,Hospital_80,Colima,Hospital_80,19.212614259562603,-97.26565274606244,PROTECT,15,Alta,9
63,Hospital_63,Tlaxcala,Hospital_63,17.40238956109832,-110.67308261497226,PROTECT,15,Alta,9
4,Hospital_4,Tabasco,Mérida,20.922619498809453,-89.60790837929913,SELECT,15,Media,9
26,Hospital_26,Jalisco,Hospital_26,22.467510704885896,-117.26171315775676,PROTECT,23,Media,10
10,Hospital_10,Michoacán,Hospital_10,19.93236656919287,-88.14934655660025,SELECT,16,Alta,10
36,Hospital_36,Baja California,Monterrey,25.708102579924923,-100.33010273518913,PROTECT,17,Media,10
5,Hospital_5,Campeche,Hospital_5,28.363193333936007,-92.78357399228598,PROTECT,13,Alta,10
7,Hospital_7,San Luis Potosí,Hospital_7,28.80862390894571,-108.73553179997819,PROTECT,16,Media,11
69,Hospital_69,Aguascalientes,Hospital_69,28.963619006692166,-115.53032914944916,PROTECT,22,Media,11
79,Hospital_79,Sonora,Monterrey,25.64042327003487,-100.33652215921306,PROTECT,16,Media,11
53,Hospital_53,Sinaloa,Guadalajara,20.656685915399297,-103.37579286128906,SELECT,14,Alta,11
2,Hospital_2,Baja California,Tijuana,32.46924738831237,-117.08629592697005,PROTECT,19,Media,11
28,Hospital_28,Morelos,Guadalajara,20.667654777876304,-103.33857345708574,PROTECT,15,Baja,11
62,Hospital_62,México,Hospital_62,24.204765220604934,-109.11431745041251,PROTECT,11,Baja,12
73,Hospital_73,Aguascalientes,Cancún,21.117976604065575,-86.8938887230432,SELECT,19,Media,12
21,Hospital_21,Yucatán,Mérida,20.958822000520307,-89.64577790668145,GROW,18,Baja,12
66,Hospital_66,Zacatecas,Ciudad de México,19.407718674584764,-99.11010344292981,PROTECT,13,Alta,12
19,Hospital_19,Sinaloa,Hospital_19,28.455213149081818,-110.57590400401965,PROTECT,20,Media,12
77,Hospital_77,Chihuahua,Hospital_77,16.186181328174545,-106.09379272665599,GROW,19,Media,12
24,Hospital_24,Veracruz,Cancún,21.159144656595377,-86.81293159943492,PROTECT,16,Alta,12
29,Hospital_29,Baja California,Ciudad de México,19.44345341263334,-99.12012362867648,GROW,20,Media,13
34,Hospital_34,Puebla,Acapulco,16.8191957781273,-99.81073643761967,GROW,20,Media,13
38,Hospital_38,Aguascalientes,Hospital_38,20.804182934961162,-117.62095277962835,GROW,15,Baja,13
18,Hospital_18,Tabasco,Hospital_18,26.91126531390317,-101.40430246317825,GROW,6,Alta,13
43,Hospital_43,Oaxaca,Veracruz,19.17699877354183,-96.11640943655658,GROW,14,Media,13
54,Hospital_54,Guerrero,Mérida,20.970876677097856,-89.67183689314544,SELECT,14,Alta,13
25,Hospital_25,Coahuila,Puebla,19.051043627199377,-98.20883326711282,SELECT,17,Alta,14
56,Hospital_56,México,Tijuana,32.50113617740619,-117.07013722988462,GROW,15,Media,14
42,Hospital_42,Oaxaca,Monterrey,25.6665799994214,-100.29991109855837,GROW,13,Alta,14
30,Hospital_30,Tabasco,Hospital_30,17.540432767843072,-108.45470350317193,PROTECT,14,Media,14
60,Hospital_60,Coahuila,Hospital_60,28.582572461294667,-116.13256845928731,PROTECT,19,Alta,14
49,Hospital_49,México,Tijuana,32.5532371932154,-117.04240952626526,GROW,17,Media,14
48,Hospital_48,Sinaloa,Ciudad de México,19.39754121217288,-99.1826089035355,SELECT,15,Alta,15
57,Hospital_57,Guanajuato,Monterrey,25.704106619540187,-100.28971716918376,PROTECT,16,Media,15
27,Hospital_27,Aguascalientes,Hospital_27,20.65373852407069,-97.47220242961542,PROTECT,15,Media,16
3,Hospital_3,Hidalgo,Acapulco,16.828257638855042,-99.81302314429752,SELECT,20,Alta,16
76,Hospital_76,Yucatán,Juárez,31.667679767201232,-106.43583720875843,PROTECT,20,Media,16
68,Hospital_68,Baja California,Tijuana,32.52766217662472,-117.01628833871519,PROTECT,23,Baja,16
61,Hospital_61,Ciudad de México,Cancún,21.127697742026058,-86.87696092548754,PROTECT,14,Media,16
45,Hospital_45,Oaxaca,Hospital_45,19.349173718517697,-102.94134667836796,SELECT,11,Alta,16
17,Hospital_17,Hidalgo,Veracruz,19.161987819236934,-96.16603979939427,PROTECT,17,Media,16
